Country,URL,Year,NumAuth,Agency,ReportSeries,Title,FirstAuthor,AllAuthors,Citation
New Zealand,,1992,3,MoF,Research Papers,Bioeconomic modelling of the New Zealand fishery for red rock lobster (Jasus edwardsii),"Breen, P.A.",,"Breen, P.A. (et al.?) 1992 Bioeconomic modelling of the New Zealand fishery for red rock lobster (Jasus edwardsii)"
New Zealand,,1992,3,MoF,Research Papers,The discrimination of hoki (Macruronus novaezelandiae) groups in New Zealand waters using morphometrics and age-growth parameters,"Livingston, M.E.",,"Livingston, M.E. (et al.?) 1992 The discrimination of hoki (Macruronus novaezelandiae) groups in New Zealand waters using morphometrics and age-growth parameters"
New Zealand,,1992,4,MoF,Research Papers,Kahawai fishery assessment for the 1992-93 fishing year,"Cresswell, P.",,"Cresswell, P. (et al.?) 1992 Kahawai fishery assessment for the 1992-93 fishing year"
New Zealand,,1992,4,MoF,Research Papers,Assessment of the ORH 3B orange roughy fishery for the 1992/93 fishing year,"Clark, M.R.",,"Clark, M.R. (et al.?) 1992 Assessment of the ORH 3B orange roughy fishery for the 1992/93 fishing year"
New Zealand,,1992,4,MoF,Research Papers,Stock assessment of hoki 1991,"Cordue, P. L.",,"Cordue, P. L. (et al.?) 1992 Stock assessment of hoki 1991"
New Zealand,,1992,5,MoF,Research Papers,Seabird bycatch by Southern Fishery longline vessels in New Zealand waters,"Bartle, J. A.",,"Bartle, J. A. (et al.?) 1992 Seabird bycatch by Southern Fishery longline vessels in New Zealand waters"
New Zealand,,1993,1,MoF,Research Papers,A Minimised Integrated Average Mean Squared Error approach to biomass and risk estimation,"Cordue, P. L.",,"Cordue, P. L. (et al.?) 1993 A Minimised Integrated Average Mean Squared Error approach to biomass and risk estimation"
New Zealand,,1993,1,MoF,Research Papers,Catch per unit of effort (CPUE) analysis of the SNA 8 snapper fishery,"Vignaux, M.",,"Vignaux, M. (et al.?) 1993 Catch per unit of effort (CPUE) analysis of the SNA 8 snapper fishery"
New Zealand,,1993,1,MoF,Research Papers,Hoki stock assessment 1992: a comparison of methods and results,"Cordue, P. L.",,"Cordue, P. L. (et al.?) 1993 Hoki stock assessment 1992: a comparison of methods and results"
New Zealand,,1993,1,MoF,Research Papers,"Assessment of ling (Genypterus blacodes) stocks (LIN 3, 4, 5, 6 and 7) off the South Island, New Zealand","Horn, P.L.",,"Horn, P.L. (et al.?) 1993 Assessment of ling (Genypterus blacodes) stocks (LIN 3, 4, 5, 6 and 7) off the South Island, New Zealand"
New Zealand,,1993,1,MoF,Research Papers,The accuracy of an estimate of natural mortality of orange roughy,"Doonan, I.J.",,"Doonan, I.J. (et al.?) 1993 The accuracy of an estimate of natural mortality of orange roughy"
New Zealand,,1993,1,MoF,Research Papers,"Catch per unit of effort (CPUE) analysis of the hoki fishery, 1987-92","Vignaux, M.",,"Vignaux, M. (et al.?) 1993 Catch per unit of effort (CPUE) analysis of the hoki fishery, 1987-92"
New Zealand,,1993,1,MoF,Research Papers,MIAEL estimation of biomass and fishery indicators for the 1993 hoki stock assessment,"Cordue, P. L.",,"Cordue, P. L. (et al.?) 1993 MIAEL estimation of biomass and fishery indicators for the 1993 hoki stock assessment"
New Zealand,,1993,1,MoF,Research Papers,The implications of some multiple stock hypotheses for Chatham Rise orange roughy,"Punt, A. E.",,"Punt, A. E. (et al.?) 1993 The implications of some multiple stock hypotheses for Chatham Rise orange roughy"
New Zealand,,1993,1,MoF,Research Papers,Southern blue whiting (Micromesistius australis) fishery assessment for the 1993-94 fishing year,"Hanchet, S.M.",,"Hanchet, S.M. (et al.?) 1993 Southern blue whiting (Micromesistius australis) fishery assessment for the 1993-94 fishing year"
New Zealand,,1993,2,MoF,Research Papers,Fishing intensity on the red rock lobster (Jasus edwardsii) North and South Island stock,"Anderson, O.F.",,"Anderson, O.F. (et al.?) 1993 Fishing intensity on the red rock lobster (Jasus edwardsii) North and South Island stock"
New Zealand,,1993,2,MoF,Research Papers,"Puerulus settlement in the red rock lobster, Jasus edwardsii","Booth, J. D.",,"Booth, J. D. (et al.?) 1993 Puerulus settlement in the red rock lobster, Jasus edwardsii"
New Zealand,,1993,2,MoF,Research Papers,"Production model for the FMA 1 scampi fishery, 1989-91","Gilbert, D.J.",,"Gilbert, D.J. (et al.?) 1993 Production model for the FMA 1 scampi fishery, 1989-91"
New Zealand,,1993,3,MoF,Research Papers,Paua (Haliotis iris) fishery assessment 1993,"McShane, P. E.",,"McShane, P. E. (et al.?) 1993 Paua (Haliotis iris) fishery assessment 1993"
New Zealand,,1993,3,MoF,Research Papers,"Assessment of the Cape Runaway to Banks Peninsula (ORH 2A, 2B, and 3A) orange roughy fishery for the 1993-94 fishing year","Annala, J. H.",,"Annala, J. H. (et al.?) 1993 Assessment of the Cape Runaway to Banks Peninsula (ORH 2A, 2B, and 3A) orange roughy fishery for the 1993-94 fishing year"
New Zealand,,1993,3,MoF,Research Papers,"Estimates of growth, mortality, and yield per recruit for New Zealand surf clams","Cranfield, H. J.",,"Cranfield, H. J. (et al.?) 1993 Estimates of growth, mortality, and yield per recruit for New Zealand surf clams"
New Zealand,,1993,3,MoF,Research Papers,Foveaux Strait oyster (Tiostrea chilensis) assessment 1993,"Cranfield, H. J.",,"Cranfield, H. J. (et al.?) 1993 Foveaux Strait oyster (Tiostrea chilensis) assessment 1993"
New Zealand,,1993,4,MoF,Research Papers,Stock assessment and decision analysis for the western stock of hoki in 1992,"Hilborn, R.",,"Hilborn, R. (et al.?) 1993 Stock assessment and decision analysis for the western stock of hoki in 1992"
New Zealand,,1993,4,MoF,Research Papers,Stock assessment and decision analysis for the western stock of hoki (Macruronus novaezelandiae) for 1993,"Hilborn, R.",,"Hilborn, R. (et al.?) 1993 Stock assessment and decision analysis for the western stock of hoki (Macruronus novaezelandiae) for 1993"
New Zealand,,1993,5,MoF,Research Papers,"Pre-fishing survey of kina (Evechinus chloroticus) in Dusky Sound, southwest New Zealand","Anderson, O.F.",,"Anderson, O.F. (et al.?) 1993 Pre-fishing survey of kina (Evechinus chloroticus) in Dusky Sound, southwest New Zealand"
New Zealand,,1993,6,MoF,Research Papers,Assessment of the ORH 3B orange roughy fishery for the 1993/94 fishing year,"Clark, M.R.",,"Clark, M.R. (et al.?) 1993 Assessment of the ORH 3B orange roughy fishery for the 1993/94 fishing year"
New Zealand,,1994,1,MoF,Research Papers,Sustainable fishing patterns for geoduc clam (Panopea zelandica) populations in New Zealand,"Breen, P.A.",,"Breen, P.A. (et al.?) 1994 Sustainable fishing patterns for geoduc clam (Panopea zelandica) populations in New Zealand"
New Zealand,,1994,1,MoF,Research Papers,Hoki acoustic biomass estimates for Cook Strait 1987-93,"Cordue, P. L.",,"Cordue, P. L. (et al.?) 1994 Hoki acoustic biomass estimates for Cook Strait 1987-93"
New Zealand,,1994,1,MoF,Research Papers,"Catch per unit effort (CPUE) analysis of west coast South Island and Cook Strait spawning hoki fisheries, 1987-93","Vignaux, M.",,"Vignaux, M. (et al.?) 1994 Catch per unit effort (CPUE) analysis of west coast South Island and Cook Strait spawning hoki fisheries, 1987-93"
New Zealand,,1994,1,MoF,Research Papers,Assessment of the stock of southern blue whiting (Micromesistius australis) from the Campbell Island Rise,"Punt, A. E.",,"Punt, A. E. (et al.?) 1994 Assessment of the stock of southern blue whiting (Micromesistius australis) from the Campbell Island Rise"
New Zealand,,1994,1,MoF,Research Papers,The fishery for freshwater eels (Anguilla spp.) in New Zealand,"Jellyman, D. J.",,"Jellyman, D. J. (et al.?) 1994 The fishery for freshwater eels (Anguilla spp.) in New Zealand"
